activity,country,legal_status,notes,topic
carry a baton,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
