activity,country,legal_status,notes,topic
bring alcohol into a country,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,travel
