activity,country,legal_status,notes,topic
filming police officers,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
