activity,country,legal_status,notes,topic
carry a baton,United Arab Emirates,illegal,Batons are generally considered weapons in the UAE and cannot be carried by civilians without authorisation.,self-defence-weapons
carry a kubotan,United Arab Emirates,restricted,Kubotans may be treated as ordinary items but weaponised versions can be considered illegal weapons,self-defence-weapons
carry a self-defence keychain,United Arab Emirates,restricted,"Self-defence keychains may be legal if they are ordinary items, but weaponised designs can be treated as illegal weapons.",self-defence-weapons
carry a sword in public,United Arab Emirates,restricted,Carrying a sword in public is generally restricted in the UAE unless it is for ceremonial or cultural purposes.,self-defence-weapons
carry a taser,United Arab Emirates,illegal,Tasers are restricted weapons in the UAE and are not legal for civilian ownership.,self-defence-weapons
carry pepper spray,United Arab Emirates,illegal,Pepper spray is generally not legal for civilian possession in the UAE,self-defence-weapons
own a switchblade,United Arab Emirates,illegal,Switchblades are prohibited in the UAE and cannot be legally owned or carried.,self-defence-weapons
possess a butterfly knife,United Arab Emirates,illegal,Butterfly knives are illegal in the UAE and are treated as prohibited weapons.,self-defence-weapons
possess a stun gun,United Arab Emirates,illegal,Stun guns are prohibited for civilian use in the UAE and are considered illegal weapons.,self-defence-weapons
possess brass knuckles,United Arab Emirates,illegal,Brass knuckles are illegal in the UAE and are treated as prohibited weapons.,self-defence-weapons
