activity,country,legal_status,notes,topic
filming police officers,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Nepal,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Nepal,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
