activity,country,legal_status,notes,topic
filming police officers,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
