activity,country,legal_status,notes,topic
drive dangerously,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
