activity,country,legal_status,notes,topic
filming police officers,Ghana,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Ghana,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Ghana,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Ghana,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Ghana,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
